# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 138K of event 'cycles'
# Event count (approx.): 1028843085381
#
# Overhead       sys       usr      Pid:Command        
# ........  ........  ........  .......................
#
    26.46%     3.53%    22.93%    11817:fapolicyd      
     7.11%     7.11%     0.00%        0:swapper        
     6.15%     1.58%     4.57%    14721:OASManager     
     6.09%     1.49%     4.60%    14724:OASManager     
     6.02%     1.55%     4.47%    14729:OASManager     
     5.99%     1.59%     4.40%    14726:OASManager     
     5.91%     1.53%     4.38%    14718:OASManager     
     5.16%     3.07%     2.10%    14776:OAS Res Br<-Mgr
     4.92%     3.03%     1.89%    11328:in:imjournal   
     4.47%     4.23%     0.23%    14797:cp             
     4.32%     3.00%     1.31%    14760:Collect FA Evnt
     3.39%     1.16%     2.23%    14775:OAS Req Br->Mgr
     3.31%     1.67%     1.64%      848:systemd-journal
     2.66%     1.39%     1.27%      991:auditd         
     1.44%     1.07%     0.37%      995:audisp-syslog  
     1.12%     0.96%     0.16%    11815:fapolicyd      
     1.04%     0.80%     0.24%      996:auditd         
     0.99%     0.61%     0.38%    14735:OAS Req Mgr<-Br
     0.95%     0.65%     0.30%    14733:OAS Res Mgr->Br
     0.40%     0.32%     0.07%    14762:Send FA Reply  
     0.32%     0.32%     0.00%       78:kauditd        
     0.28%     0.19%     0.09%    14720:Timeout Thread 
     0.25%     0.16%     0.09%    14722:Timeout Thread 
     0.13%     0.13%     0.00%       17:rcu_preempt    
     0.10%     0.06%     0.04%    11329:rs:main Q:Reg  
     0.09%     0.05%     0.04%     1078:masvc          
     0.06%     0.06%     0.00%      993:auditd         
     0.05%     0.05%     0.00%      972:xfsaild/dm-2   
     0.05%     0.05%     0.00%    14799:kworker/3:1    
     0.04%     0.04%     0.00%    14803:journal-offline
     0.04%     0.04%     0.00%    14802:journal-offline
     0.04%     0.04%     0.00%    14801:journal-offline
     0.04%     0.04%     0.00%    14800:journal-offline
     0.04%     0.03%     0.01%    14807:journal-offline
     0.04%     0.01%     0.03%    14717:GTI LookUp Mgr 
     0.04%     0.04%     0.00%      127:kworker/1:1H-kb
     0.03%     0.03%     0.00%    10986:kworker/0:2-eve
     0.03%     0.03%     0.00%    11782:kworker/u16:4-w
     0.02%     0.02%     0.00%    11375:kworker/u16:2-e
     0.02%     0.00%     0.02%    14840:macompatsvc    
