# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 163K of event 'cycles'
# Event count (approx.): 1568867483693
#
# Overhead       sys       usr      Pid:Command        
# ........  ........  ........  .......................
#
    17.98%     3.25%    14.73%    11817:fapolicyd      
     8.25%     2.26%     5.99%    14718:OASManager     
     8.24%     2.36%     5.88%    14729:OASManager     
     8.23%     2.32%     5.91%    14726:OASManager     
     8.22%     2.31%     5.91%    14721:OASManager     
     8.11%     2.31%     5.80%    14724:OASManager     
     6.21%     3.74%     2.47%    14776:OAS Res Br<-Mgr
     6.07%     6.07%     0.00%        0:swapper        
     4.82%     3.39%     1.43%    14760:Collect FA Evnt
     3.08%     1.85%     1.23%    11328:in:imjournal   
     2.97%     2.82%     0.15%    14872:cp             
     2.94%     2.82%     0.12%    14871:cp             
     2.71%     1.37%     1.35%      991:auditd         
     2.70%     1.59%     1.12%      848:systemd-journal
     1.46%     1.11%     0.35%      995:audisp-syslog  
     1.43%     0.81%     0.62%    14775:OAS Req Br->Mgr
     1.09%     0.95%     0.14%    11815:fapolicyd      
     1.08%     0.85%     0.23%      996:auditd         
     1.08%     0.65%     0.43%    14735:OAS Req Mgr<-Br
     1.05%     0.72%     0.32%    14733:OAS Res Mgr->Br
     0.46%     0.39%     0.07%    14762:Send FA Reply  
     0.39%     0.39%     0.00%       78:kauditd        
     0.16%     0.09%     0.06%    14720:Timeout Thread 
     0.15%     0.10%     0.05%    14722:Timeout Thread 
     0.14%     0.10%     0.05%    14728:Timeout Thread 
     0.14%     0.08%     0.06%    14725:Timeout Thread 
     0.09%     0.09%     0.00%       17:rcu_preempt    
     0.07%     0.07%     0.00%      993:auditd         
     0.03%     0.03%     0.00%    14908:journal-offline
     0.03%     0.03%     0.00%      127:kworker/1:1H-xf
     0.03%     0.03%     0.00%      972:xfsaild/dm-2   
     0.03%     0.00%     0.03%    14921:chronyc        
     0.03%     0.00%     0.03%    14913:nm-dispatcher  
     0.03%     0.03%     0.00%    14912:journal-offline
     0.03%     0.02%     0.00%    14907:journal-offline
     0.03%     0.02%     0.00%    14911:journal-offline
     0.03%     0.02%     0.00%    14905:journal-offline
     0.02%     0.01%     0.01%    14873:sshd           
     0.02%     0.02%     0.00%    11777:kworker/6:1-xfs
     0.02%     0.02%     0.00%    11375:kworker/u16:2-e
     0.02%     0.02%     0.00%    14806:kworker/u16:0-e
     0.02%     0.01%     0.01%    14781:vmstat         
     0.02%     0.02%     0.00%    11569:kworker/4:2-eve
     0.02%     0.02%     0.00%    14906:kworker/3:1    
     0.01%     0.01%     0.00%    14852:kworker/2:1-eve
     0.01%     0.01%     0.01%    14902:ps             
     0.01%     0.01%     0.01%    14891:flatpak        
     0.01%     0.01%     0.00%    11782:kworker/u16:4-x
     0.01%     0.01%     0.01%    14878:sftp-server    
     0.01%     0.01%     0.00%    14875:unix_chkpwd    
     0.01%     0.01%     0.00%    11778:kworker/5:0-xfs
     0.01%     0.01%     0.00%    14804:kworker/dying  
     0.01%     0.01%     0.00%    14798:kworker/1:1-xfs
     0.01%     0.01%     0.00%    14866:unix_chkpwd    
     0.01%     0.01%     0.00%       16:pr/tty0        
     0.01%     0.01%     0.00%    14874:sshd           
     0.01%     0.01%     0.00%      348:kworker/5:1H-kb
     0.01%     0.01%     0.00%    14808:kworker/7:1-xfs
     0.01%     0.01%     0.00%    14876:unix_chkpwd    
     0.01%     0.01%     0.00%    10986:kworker/0:2-xfs
     0.01%     0.01%     0.00%      612:kworker/4:1H-kb
     0.01%     0.01%     0.00%    14909:kworker/7:0    
     0.01%     0.01%     0.00%        1:systemd        
